Well,528/20,590/20
A1,811
B1,1271
C1,1799
D1,1990
E1,2677
F1,2874
G1,3524
H1,2
A2,885
B2,1460
C2,2033
D2,2595
E2,3269
F2,3672
G2,4749
H2,2
A3,835
B3,3136
C3,5093
D3,6729
E3,8527
F3,9168
G3,12479
H3,2
A4,918
B4,1371
C4,2078
D4,2697
E4,3117
F4,3603
G4,4383
H4,1
A5,902
B5,1615
C5,2778
D5,3780
E5,4920
F5,5729
G5,6857
H5,2
A6,888
B6,892
C6,941
D6,952
E6,971
F6,2703
G6,971
H6,3
A7,902
B7,1374
C7,2542
D7,3411
E7,4242
F7,5019
G7,5760
H7,2
A8,914
B8,1597
C8,2346
D8,2996
E8,3786
F8,4143
G8,5132
H8,1
A9,916
B9,1773
C9,2745
D9,3766
E9,4675
F9,4937
G9,6611
H9,1
A10,915
B10,1949
C10,3180
D10,4298
E10,5433
F10,6082
G10,7212
H10,0
A11,897
B11,1643
C11,2323
D11,3020
E11,3509
F11,4219
G11,4809
H11,1
A12,864
B12,933
C12,954
D12,931
E12,901
F12,915
G12,928
H12,1

