Well,528/20,590/20
A1,1286
B1,1849
C1,2041
D1,2644
E1,3674
F1,4034
G1,4345
H1,3
A2,1197
B2,1603
C2,1592
D2,1924
E2,2305
F2,3115
G2,3184
H2,3
A3,1194
B3,1123
C3,1464
D3,1354
E3,1415
F3,1558
G3,1558
H3,2
A4,1353
B4,1669
C4,1404
D4,1596
E4,1580
F4,1703
G4,1761
H4,3
A5,0
B5,0
C5,0
D5,1
E5,1
F5,1
G5,2
H5,2
A6,0
B6,0
C6,0
D6,1
E6,1
F6,1
G6,1
H6,2
A7,1629
B7,2058
C7,1787
D7,2178
E7,2784
F7,3154
G7,3326
H7,2
A8,1901
B8,2486
C8,2508
D8,3293
E8,3335
F8,3525
G8,4226
H8,3
A9,1717
B9,1630
C9,1697
D9,1484
E9,1643
F9,1682
G9,1508
H9,3
A10,1891
B10,1626
C10,1482
D10,1736
E10,1850
F10,1929
G10,1759
H10,3
A11,0
B11,0
C11,1
D11,0
E11,1
F11,1
G11,1
H11,3
A12,0
B12,0
C12,1
D12,0
E12,1
F12,1
G12,2
H12,2

