Well,528/20,590/20
A1,869
B1,1047
C1,1308
D1,1651
E1,1823
F1,2105
G1,2277
H1,2
A2,920
B2,988
C2,1129
D2,1569
E2,1938
F2,2255
G2,2581
H2,2
A3,879
B3,1417
C3,1863
D3,2412
E3,2934
F3,3346
G3,3726
H3,2
A4,908
B4,1061
C4,1254
D4,1390
E4,1436
F4,1596
G4,1569
H4,4
A5,868
B5,1403
C5,1757
D5,2241
E5,2591
F5,2853
G5,2972
H5,1
A6,944
B6,1167
C6,1158
D6,1439
E6,1801
F6,1990
G6,2105
H6,2
A7,805
B7,1235
C7,1658
D7,2077
E7,2447
F7,2623
G7,2748
H7,7
A8,788
B8,1143
C8,1450
D8,1654
E8,1993
F8,2367
G8,2523
H8,28
A9,775
B9,1213
C9,1576
D9,1974
E9,2668
F9,2881
G9,3227
H9,4
A10,817
B10,1193
C10,1330
D10,1632
E10,2016
F10,1987
G10,2536
H10,3
A11,774
B11,882
C11,1021
D11,818
E11,917
F11,910
G11,839
H11,0
A12,795
B12,747
C12,735
D12,765
E12,863
F12,774
G12,779
H12,2

